acc	GO_name	systematic_id	symbol	gene_product_description	evidence_code	source	assigned_by
GO:0000124	SAGA complex	SPCC16C4.18c	taf6	SAGA complex/transcription factor TFIID complex histone H4-like subunit Taf6	IDA	PMID:11972332,PMID:19056896	PomBase
GO:0000124	SAGA complex	SPCC16C4.18c	taf6	SAGA complex/transcription factor TFIID complex histone H4-like subunit Taf6	IPI	PMID:29079657	PomBase
GO:0000124	SAGA complex	SPCC24B10.08c	ada2	SAGA complex subunit Ada2	IDA	PMID:19056896	PomBase
GO:0000124	SAGA complex	SPCC24B10.08c	ada2	SAGA complex subunit Ada2	IPI	PMID:29079657	PomBase
GO:0000124	SAGA complex	SPCC5E4.03c	taf5	SAGA complex/TATA-binding protein associated factor/transcription factor TFIID complex subunit Taf5	IDA	PMID:11279037,PMID:11972332,PMID:19056896	PomBase
GO:0000124	SAGA complex	SPCC5E4.03c	taf5	SAGA complex/TATA-binding protein associated factor/transcription factor TFIID complex subunit Taf5	IPI	PMID:29079657	PomBase
GO:0000124	SAGA complex	SPCC61.02	spt3	SAGA complex subunit Spt3	IDA	PMID:19056896	PomBase
GO:0000124	SAGA complex	SPCC61.02	spt3	SAGA complex subunit Spt3	IPI	PMID:29079657	PomBase
GO:0000126	transcription factor TFIIIB complex	SPAC29E6.08	tbp1	TATA-binding protein (TBP)	ISO	GO_REF:0000024	PomBase
GO:0000126	transcription factor TFIIIB complex	SPBC13E7.10c	brf1	transcription factor TFIIIB complex subunit Brf1	IDA	PMID:12682361	PomBase
GO:0000126	transcription factor TFIIIB complex	SPCC1919.14c	bdp1	transcription factor TFIIIB complex subunit Bdp1	ISS	GO_REF:0000024	PomBase
GO:0000127	transcription factor TFIIIC complex	SPAC1250.07	sfc7	transcription factor TFIIIC subunit Sfc7	ISO	GO_REF:0000024	PomBase
GO:0000127	transcription factor TFIIIC complex	SPAC6F12.11c	sfc1	transcription factor TFIIIC complex A box associated subunit Sfc1	IDA	PMID:10906331	PomBase
GO:0000127	transcription factor TFIIIC complex	SPBC21H7.05	sfc6	transcription factor TFIIIC complex subunit Sfc6	IDA	PMID:10906331	PomBase
GO:0000127	transcription factor TFIIIC complex	SPBC336.07	sfc3	transcription factor TFIIIC complex B box binding subunit Sfc3	IDA	PMID:10906331	PomBase
GO:0000127	transcription factor TFIIIC complex	SPBC8D2.07c	sfc9	transcription factor TFIIIC complex subunit Sfc9	ISS	GO_REF:0000024	PomBase
GO:0000127	transcription factor TFIIIC complex	SPCC16C4.14c	sfc4	transcription factor TFIIIC complex subunit Sfc4	IDA	PMID:10906331	PomBase
GO:0000136	mannan polymerase complex	SPAC4F10.10c	mnn9	mannan polymerase I complex subunit Mnn9	IPI	PMID:32650974	PomBase
GO:0000136	mannan polymerase complex	SPBC1734.04	anp1	mannan polymerase I complex subunit Anp1	IPI	PMID:32650974	PomBase
GO:0000136	mannan polymerase complex	SPBC8D2.17	gmh4	alpha-1,6-galactosyltransferase	IBA	PMID:21873635	GO_Central
GO:0000145	exocyst	SPAC13F5.06c	sec10	exocyst complex subunit Sec10	IDA	PMID:11854409	PomBase
GO:0000145	exocyst	SPAC17G8.12	sec3	exocyst complex subunit Sec3	IPI	PMID:22891673	PomBase
GO:0000145	exocyst	SPAC6F12.08c	exo84	exocyst complex subunit Exo84	ISS	GO_REF:0000024	PomBase
GO:0000145	exocyst	SPBC106.20	exo70	exocyst complex subunit Exo70	IDA	PMID:11854409	PomBase
GO:0000145	exocyst	SPCC1183.01	sec15	exocyst complex subunit Sec15	IBA	PMID:21873635	GO_Central
GO:0000145	exocyst	SPCC1235.10c	sec6	exocyst complex subunit Sec6	IDA	PMID:11854409	PomBase
GO:0000145	exocyst	SPCC18.04	pof6	F-box protein Pof6	IBA	PMID:21873635	GO_Central
GO:0000145	exocyst	SPCC622.10c	sec5	exocyst complex subunit Sec5	ISS	GO_REF:0000024	PomBase
GO:0000145	exocyst	SPCC970.09	sec8	exocyst complex subunit Sec8	NAS	GO_REF:0000051	PomBase
GO:0000148	1,3-beta-D-glucan synthase complex	SPAC19B12.03	bgs3	cell wall 1,3-beta-glucan synthase catalytic subunit Bgs3	IC	GO_REF:0000111	PomBase
GO:0000148	1,3-beta-D-glucan synthase complex	SPAC24C9.07c	bgs2	spore wall 1,3-beta-glucan synthase catalytic subunit Bgs2	IC	PMID:10922478	PomBase
GO:0000148	1,3-beta-D-glucan synthase complex	SPBC1289.01c	chr4	SEL1/TPR repeat protein1, 3-beta-glucan synthase regulatory factor Chf3/Chr4	IPI	PMID:19237545	PomBase
GO:0000148	1,3-beta-D-glucan synthase complex	SPBC19G7.05c	bgs1	primary septum and spore wall linear 1,3-beta-glucan synthase catalytic subunit Bgs1	IC	PMID:12356913	PomBase
GO:0000148	1,3-beta-D-glucan synthase complex	SPCC1840.02c	bgs4	cell wall and secondary septum 1,6 branched 1,3-beta-glucan synthase catalytic subunit Bgs4	NAS	GO_REF:0000051	PomBase
GO:0000164	protein phosphatase type 1 complex	SPAC227.15	reg1	serine/threonine protein phosphatase PP1 regulatory subunit Reg1	ISO	GO_REF:0000024	PomBase
GO:0000164	protein phosphatase type 1 complex	SPAC4A8.12c	sds22	serine/threonine protein phosphatase PP1 regulatory subunit Sds22	ISO	GO_REF:0000024	PomBase
GO:0000164	protein phosphatase type 1 complex	SPBC776.02c	dis2	serine/threonine protein phosphatase PP1 catalytic subunit Dis2	IPI	PMID:24554432	PomBase
GO:0000164	protein phosphatase type 1 complex	SPCC31H12.05c	sds21	serine/threonine protein phosphatase PP1 catalytic subunit Sds21	IPI	PMID:24554432	PomBase
GO:0000172	ribonuclease MRP complex	SPAC1805.18	pop6	RNase P and RNase MRP subunit Pop6/Pop7 ortholog	ISO	GO_REF:0000024	PomBase
GO:0000172	ribonuclease MRP complex	SPAC25B8.16	pop100	RNase P and RNase MRP subunit Pop100	EXP	PMID:25401760	PomBase
GO:0000172	ribonuclease MRP complex	SPAC323.08	rmp1	RNase MRP subunit Rmp1	EXP	PMID:25401760	PomBase
GO:0000172	ribonuclease MRP complex	SPAC3A12.04c	rpp1	RNase P and RNase MRP subunit p30, Rpp1	EXP	PMID:25401760	PomBase
GO:0000172	ribonuclease MRP complex	SPAC6C3.09	rpp40	RNase P and RNase MRP subunit Rpp40	EXP	PMID:25401760	PomBase
GO:0000172	ribonuclease MRP complex	SPBC1703.01c	pop4	RNase P and RNase MRP subunit Pop4	EXP	PMID:25401760	PomBase
GO:0000172	ribonuclease MRP complex	SPBC1709.20	pop8	RNase P and RNase MRP subunit Pop8	EXP	PMID:25401760	PomBase
GO:0000172	ribonuclease MRP complex	SPBC18H10.12c	rpl701	RNase MRP subunit, ribosomal protein L7-like Rpl701	EXP	PMID:25401760	PomBase
GO:0000172	ribonuclease MRP complex	SPBP8B7.01c	pop7	RNAseP RNAse MRP subunit Pop7	EXP	PMID:25401760	PomBase
GO:0000172	ribonuclease MRP complex	SPCC16C4.05	pop23	RNase P and RNase MRP subunit Pop23	EXP	PMID:25401760	PomBase
GO:0000172	ribonuclease MRP complex	SPCC16C4.19	rpp21	RNase MRP subunit Rpp21	EXP	PMID:25401760	PomBase
GO:0000172	ribonuclease MRP complex	SPCC830.09c	pop5	RNase P and RNase MRP subunit Pop5	EXP	PMID:25401760	PomBase
GO:0000172	ribonuclease MRP complex	SPNCRNA.727	SPNCRNA.727	non-coding RNA	ISO	PMID:8553696	PomBase
GO:0000172	ribonuclease MRP complex	SPNCRNA.82	mrp1	RNAse MRP	EXP	PMID:25401760	PomBase
GO:0000176	nuclear exosome (RNase complex)	SPAC1F3.01	rrp6	exosome 3'-5' exoribonuclease subunit Rrp6	EXP	PMID:29906447	PomBase
GO:0000176	nuclear exosome (RNase complex)	SPAC22A12.12c	rrp40	exosome subunit Rrp40	EXP	PMID:29906447	PomBase
GO:0000176	nuclear exosome (RNase complex)	SPAC2F7.14c	rrp4	exosome subunit Rrp4	EXP	PMID:29906447	PomBase
GO:0000176	nuclear exosome (RNase complex)	SPAC3G9.10c	rrp41	exosome subunit Rrp41	EXP	PMID:29906447	PomBase
GO:0000176	nuclear exosome (RNase complex)	SPACUNK4.11c	mpp6	nuclear exosome-associated RNA binding protein Mpp6	ISO	GO_REF:0000024	PomBase
GO:0000176	nuclear exosome (RNase complex)	SPBC115.01c	rrp46	exosome subunit Rrp46	EXP	PMID:29906447	PomBase
GO:0000176	nuclear exosome (RNase complex)	SPBC16G5.10	rrp42	exosome subunit Rrp42	EXP	PMID:29906447	PomBase
GO:0000176	nuclear exosome (RNase complex)	SPBC17D1.03c	rrp43	exosome subunit Rrp43	EXP	PMID:29906447	PomBase
GO:0000176	nuclear exosome (RNase complex)	SPBC211.08c	mtr3	exosome subunit Mtr3	EXP	PMID:29906447	PomBase
GO:0000176	nuclear exosome (RNase complex)	SPBC26H8.10	dis3	exosome 3'-5' exoribonuclease subunit Dis3	EXP	PMID:29906447	PomBase
GO:0000176	nuclear exosome (RNase complex)	SPCC1739.07	cti1	exosome C1D family subunit Cti1	ISO	GO_REF:0000024	PomBase
GO:0000176	nuclear exosome (RNase complex)	SPCC1840.11	csl4	exosome subunit Csl4	EXP	PMID:29906447	PomBase
GO:0000176	nuclear exosome (RNase complex)	SPCC757.08	rrp45	exosome subunit Rrp45	EXP	PMID:29906447	PomBase
GO:0000177	cytoplasmic exosome (RNase complex)	SPAC22A12.12c	rrp40	exosome subunit Rrp40	ISO	GO_REF:0000024	PomBase
GO:0000177	cytoplasmic exosome (RNase complex)	SPAC2F7.14c	rrp4	exosome subunit Rrp4	ISO	GO_REF:0000024	PomBase
GO:0000177	cytoplasmic exosome (RNase complex)	SPAC3G9.10c	rrp41	exosome subunit Rrp41	ISO	GO_REF:0000024	PomBase
GO:0000177	cytoplasmic exosome (RNase complex)	SPBC115.01c	rrp46	exosome subunit Rrp46	ISO	GO_REF:0000024	PomBase
GO:0000177	cytoplasmic exosome (RNase complex)	SPBC16G5.10	rrp42	exosome subunit Rrp42	ISO	GO_REF:0000024	PomBase
GO:0000177	cytoplasmic exosome (RNase complex)	SPBC17D1.03c	rrp43	exosome subunit Rrp43	ISO	GO_REF:0000024	PomBase
GO:0000177	cytoplasmic exosome (RNase complex)	SPBC211.08c	mtr3	exosome subunit Mtr3	ISO	GO_REF:0000024	PomBase
GO:0000177	cytoplasmic exosome (RNase complex)	SPBC26H8.10	dis3	exosome 3'-5' exoribonuclease subunit Dis3	ISO	GO_REF:0000024	PomBase
GO:0000177	cytoplasmic exosome (RNase complex)	SPCC1840.11	csl4	exosome subunit Csl4	ISO	GO_REF:0000024	PomBase
GO:0000177	cytoplasmic exosome (RNase complex)	SPCC757.08	rrp45	exosome subunit Rrp45	ISO	GO_REF:0000024	PomBase
GO:0000214	tRNA-intron endonuclease complex	SPAC959.10	sen15	tRNA-splicing endonuclease subunit Sen15	ISO	GO_REF:0000024	PomBase
GO:0000214	tRNA-intron endonuclease complex	SPAPB17E12.07c	sen2	tRNA-splicing endonuclease catalytic subunit Sen2	ISO	GO_REF:0000024	PomBase
GO:0000214	tRNA-intron endonuclease complex	SPBC19C7.07c	sen34	tRNA-splicing endonuclease catalytic subunit Sen34	ISO	GO_REF:0000024	PomBase
GO:0000214	tRNA-intron endonuclease complex	SPCC613.09	sen54	tRNA-splicing endonuclease subunit Sen54	ISO	GO_REF:0000024	PomBase
GO:0000220	vacuolar proton-transporting V-type ATPase, V0 domain	SPAC16E8.07c	vph1	V-type ATPase V0 subunit a	ISO	GO_REF:0000024	PomBase
GO:0000220	vacuolar proton-transporting V-type ATPase, V0 domain	SPAC17A2.03c	vma6	V-type ATPase V0 subunit d	ISO	GO_REF:0000024	PomBase
GO:0000220	vacuolar proton-transporting V-type ATPase, V0 domain	SPAC1B3.14	vma3	V-type ATPase V0 subunit c (proteolipid subunit)	ISO	PMID:14735354	PomBase
GO:0000220	vacuolar proton-transporting V-type ATPase, V0 domain	SPAC2C4.13	vma16	V-type ATPase V0 subunit c''	ISO	GO_REF:0000024	PomBase
GO:0000220	vacuolar proton-transporting V-type ATPase, V0 domain	SPAC732.01	vma11	V-type ATPase V0 proteolipid subunit	ISO	GO_REF:0000024	PomBase
GO:0000220	vacuolar proton-transporting V-type ATPase, V0 domain	SPBC1685.16	vma9	V-type ATPase V0 subunit e	ISO	GO_REF:0000024	PomBase
GO:0000221	vacuolar proton-transporting V-type ATPase, V1 domain	SPAC11E3.07	vma4	V-type ATPase V1 subunit E	ISO	GO_REF:0000024	PomBase
GO:0000221	vacuolar proton-transporting V-type ATPase, V1 domain	SPAC343.05	vma1	V-type ATPase V1 domain, subunit A	ISO	PMID:14735354	PomBase
GO:0000221	vacuolar proton-transporting V-type ATPase, V1 domain	SPAC637.05c	vma2	V-type ATPase V1 subunit B	ISO	GO_REF:0000024	PomBase
GO:0000221	vacuolar proton-transporting V-type ATPase, V1 domain	SPAC7D4.10	vma13	V-type ATPase V1 subunit H	ISO	GO_REF:0000024	PomBase
GO:0000221	vacuolar proton-transporting V-type ATPase, V1 domain	SPAPB2B4.05	vma5	V-type ATPase V1 subunit C	ISO	GO_REF:0000024	PomBase
GO:0000221	vacuolar proton-transporting V-type ATPase, V1 domain	SPBC1289.05c	vma10	V-type ATPase V1 domain subunit G	ISO	GO_REF:0000024	PomBase
GO:0000221	vacuolar proton-transporting V-type ATPase, V1 domain	SPBC3B9.18c	vma7	V-type ATPase V1 subunit F	ISO	GO_REF:0000024	PomBase
GO:0000221	vacuolar proton-transporting V-type ATPase, V1 domain	SPCC965.03	vma8	V-type ATPase V1 subunit D	ISO	GO_REF:0000024	PomBase
GO:0000243	commitment complex	SPAC19A8.13	usp101	U1 snRNP-associated protein Usp101	ISO	GO_REF:0000024	PomBase
GO:0000243	commitment complex	SPAC27D7.07c	smd1	Sm snRNP core protein Smd1	ISS	GO_REF:0000024	PomBase
GO:0000243	commitment complex	SPAC4D7.13	usp104	U1 snRNP-associated protein Usp104	ISS	GO_REF:0000024	PomBase
GO:0000243	commitment complex	SPAP8A3.06	uaf2	U2 small nuclear RNA auxiliary factor small subunit, U2AF-23	IDA	PMID:12374752	PomBase
GO:0000243	commitment complex	SPBC13A2.01c	cbc2	nuclear cap-binding complex small subunit	ISO	GO_REF:0000024	PomBase
GO:0000243	commitment complex	SPBC146.07	prp2	U2 small nuclear RNA auxiliary factor small subunit, U2AF-59	IDA	PMID:12374752	PomBase
GO:0000243	commitment complex	SPBC19C2.14	smd3	Sm snRNP core protein Smd3	ISS	GO_REF:0000024	PomBase
GO:0000243	commitment complex	SPBC4B4.09	usp105	U1 snRNP-associated protein Usp105	ISO	GO_REF:0000024	PomBase
GO:0000243	commitment complex	SPBP35G2.09	usp103	U1 snRNP-associated protein Usp103	ISO	GO_REF:0000024	PomBase
GO:0000243	commitment complex	SPCC962.06c	bpb1	KH and CC/hC domain splicing factor Bpb1	IDA	PMID:12374752	PomBase
GO:0000274	mitochondrial proton-transporting ATP synthase, stator stalk	SPBC1604.07	atp4	F1-FO ATP synthase subunit	ISS	GO_REF:0000024	PomBase
GO:0000274	mitochondrial proton-transporting ATP synthase, stator stalk	SPBC29A10.13	atp7	F1-FO ATP synthase subunit D	ISS	GO_REF:0000024	PomBase
GO:0000274	mitochondrial proton-transporting ATP synthase, stator stalk	SPCC1840.06	atp5	F1-FO ATP synthase delta subunit	ISO	GO_REF:0000024	PomBase
GO:0000276	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)	SPAC22F3.07c	atp20	F1-FO ATP synthase subunit G	ISS	GO_REF:0000024	PomBase
GO:0000276	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)	SPAC23C4.11	atp18	F1-FO ATP synthase subunit J	ISO	GO_REF:0000024	PomBase
GO:0000276	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)	SPAC25H1.10c	atp19	F1-FO ATP synthase subunit K	ISO	GO_REF:0000024	PomBase
GO:0000276	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)	SPBC106.05c	tim11	F1-FO ATP synthase subunit E	ISO	GO_REF:0000024	PomBase
GO:0000276	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)	SPBC1604.11	atp17	F1-FO ATP synthase subunit F	ISS	GO_REF:0000024	PomBase
GO:0000276	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)	SPBC29A3.10c	atp14	F1-FO ATP synthase subunit H	ISS	GO_REF:0000024	PomBase
GO:0000276	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)	SPMIT.07	atp6	F1-FO ATP synthase subunit 6	ISO	GO_REF:0000024	PomBase
GO:0000276	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)	SPMIT.09	atp8	F1-FO ATP synthase subunit 8	ISO	GO_REF:0000024	PomBase
GO:0000276	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)	SPMIT.10	atp9	F1-FO ATP synthase subunit 9	ISO	GO_REF:0000024	PomBase
GO:0000333	telomerase catalytic core complex	SPBC29A3.14c	trt1	telomerase reverse transcriptase 1 protein Trt1	IDA	PMID:18157152,PMID:24793650	PomBase,UniProt
GO:0000333	telomerase catalytic core complex	SPNCRNA.884	SPNCRNA.884	non-coding RNA	IDA	PMID:18157149,PMID:18157152	PomBase
GO:0000346	transcription export complex	SPAC17G6.14c	uap56	TREX complex subunit, ATP-dependent RNA helicase Uap56	ISO	GO_REF:0000024	PomBase
GO:0000346	transcription export complex	SPBC1105.07c	pci2	TREX/TREX2 complex subunit Pci2	ISO	GO_REF:0000024	PomBase
GO:0000346	transcription export complex	SPBC1D7.04	mlo3	RNA binding protein Mlo3	ISO	GO_REF:0000024	PomBase
GO:0000347	THO complex	SPBC106.12c	tho4	THO complex subunit Tho4	ISS	GO_REF:0000024	PomBase
GO:0000408	EKC/KEOPS complex	SPAC4H3.13	pcc1	EKC/KEOPS complex subunit Pcc1	ISO	GO_REF:0000024	PomBase
GO:0000408	EKC/KEOPS complex	SPAC6B12.18	gon7	EKC/KEOPS complex subunit Gon7	ISO	GO_REF:0000024	PomBase
GO:0000408	EKC/KEOPS complex	SPAP27G11.07c	bud32	EKC/KEOPS complex associated ATPase Bud32	ISO	GO_REF:0000024	PomBase
GO:0000408	EKC/KEOPS complex	SPBC16D10.03	kae1	EKC/KEOPS complex N(6)-L-threonylcarbamoyladenine synthase subunit	ISO	GO_REF:0000024	PomBase
GO:0000408	EKC/KEOPS complex	SPCC24B10.12	cgi121	EKC/KEOPS complex subunit Cgi121	ISO	GO_REF:0000024	PomBase
GO:0000417	HIR complex	SPBC15D4.03	slm9	histone H3.3 H4 chaperone, WD repeat protein, hira family Slm9	IDA	PMID:16428807,PMID:20976105	PomBase
GO:0000417	HIR complex	SPBC31F10.13c	hip1	histone H3.3 H4 chaperone, hira family Hip1	IDA	PMID:16428807,PMID:20976105	PomBase
GO:0000417	HIR complex	SPBC31F10.14c	hip3	HIRA interacting protein Hip3	IDA	PMID:16428807,PMID:20976105	PomBase
GO:0000417	HIR complex	SPBC947.08c	hip4	histone promoter control protein Hip4	IDA	PMID:20976105	PomBase
GO:0000439	transcription factor TFIIH core complex	SPAC16E8.11c	tfb1	transcription factor TFIIH complex subunit Tfb1	ISO	GO_REF:0000024	PomBase
GO:0000439	transcription factor TFIIH core complex	SPAC17A5.06	ptr8	transcription factor TFIIH complex DNA helicase (human ERCC3) subunit Ptr8	ISO	GO_REF:0000024	PomBase
GO:0000439	transcription factor TFIIH core complex	SPAC1D4.12	rad15	transcription factor TFIIH complex DNA helicase (human ERCC2) subunit Rad15	ISO	GO_REF:0000024	PomBase
GO:0000439	transcription factor TFIIH core complex	SPBC13G1.13	tfb2	transcription factor TFIIH complex subunit Tfb2	ISO	GO_REF:0000024	PomBase
GO:0000439	transcription factor TFIIH core complex	SPBC30B4.07c	tfb4	transcription factor TFIIH complex subunit Tfb4	IBA	PMID:21873635	GO_Central
GO:0000439	transcription factor TFIIH core complex	SPBC32F12.15	tfb5	transcription factor TFIIH complex subunit Tfb5	ISO	GO_REF:0000024	PomBase
GO:0000439	transcription factor TFIIH core complex	SPCC1682.07	ssl1	transcription factor TFIIH complex subunit Ssl1	ISO	GO_REF:0000024	PomBase
GO:0000500	RNA polymerase I upstream activating factor complex	SPAC22E12.08	rrn10	RNA polymerase I upstream activation factor complex subunit Rrn10	EXP	PMID:12490702	PomBase
GO:0000500	RNA polymerase I upstream activating factor complex	SPAC29A4.10	rrn5	RNA polymerase I upstream activation factor complex subunit Rrn5	EXP	PMID:12490702	PomBase
GO:0000500	RNA polymerase I upstream activating factor complex	SPAC29A4.10	rrn5	RNA polymerase I upstream activation factor complex subunit Rrn5	IDA	PMID:18362178	PomBase
GO:0000500	RNA polymerase I upstream activating factor complex	SPBC17D1.04	acr1	RNA polymerase I upstream activation factor complex subunit Acr1	IDA	PMID:18362178	PomBase
GO:0000500	RNA polymerase I upstream activating factor complex	SPCC285.17	spp27	RNA polymerase I upstream activation factor complex subunit Spp27	EXP	PMID:12490702	PomBase
GO:0000506	glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex	SPBC30D10.11	gpi1	pig-Q	ISO	GO_REF:0000024	PomBase
GO:0000506	glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex	SPBC3D6.07	gpi3	pig-A, phosphatidylinositol N-acetylglucosaminyltransferase subunit Gpi3	ISO	GO_REF:0000024	PomBase
GO:0000506	glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex	SPBC685.05	gpi15	pig-H	IEA	GO_REF:0000002	InterPro
GO:0000506	glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex	SPCC550.04c	gpi2	pig-C	ISO	GO_REF:0000024	PomBase
GO:0000783	nuclear telomere cap complex	SPBC1778.02	rap1	shelterin complex telomere binding subunit Rap1	IDA	PMID:11676925	PomBase
